time,V_C,I_L,V_IN
0.00017549999999999998,73.37397590776965,1.8586016195770703,51.15153943757598
0.000176,76.5700069776093,1.599723426431999,56.970424694578014
0.00017649999999999998,79.29352651891341,1.3484936299140853,63.15048167516987
0.000177,81.57137601755281,1.1220111560212178,68.41691378300958
0.0001775,83.48902558933591,0.9550990776221814,71.32847898474381
0.000178,85.11513048738686,0.8035054241309698,75.04588639499335
0.0001785,86.50442239646439,0.7097348601551905,82.67917617838887
0.000179,87.7599150039735,0.6496681308160777,93.36995538646632
0.0001795,88.98441054828803,0.6761251328645267,105.75659186178184
0.00017999999999999998,90.34842508756971,0.8028821355338348,115.07449305957182
0.0001805,92.00557432612719,1.0023883120181722,120.13653122874105
0.00018099999999999998,94.08376619481908,1.233313494689234,123.1467662817404
0.0001815,96.5854501090326,1.4688691288211926,125.73151186739068
0.00018199999999999998,99.52719025492763,1.706879500311407,128.67534946465383
0.0001825,102.90051504580485,1.9317266686461008,128.41325043379788
0.000183,106.65180902929839,2.1112176619936798,129.7420870365357
0.0001835,110.70267267799017,2.2575643254700477,130.41316012143847
0.000184,114.98094541722627,2.354842459274426,128.81247103515685
0.00018449999999999999,119.39307115059832,2.400055471894824,123.58387542042306
0.000185,123.81894356942126,2.3579016305140197,114.97072149708812
0.00018549999999999998,128.01375351901433,2.1523118485194406,107.87034271810015
0.000186,131.73684339042464,1.853857279787084,101.0656110415576
0.00018649999999999998,134.81211317125917,1.4458796096513502,91.37088648551268
0.000187,137.03593278385748,0.9427810605167084,79.06564963236177
0.0001875,138.20363556085837,0.2946632049207266,67.6202721243849
0.000188,138.0877948916981,-0.42071163261392774,60.545998289856335
0.0001885,136.62562522455826,-1.169181523600659,53.63093588725759
0.00018899999999999999,133.6944901761834,-2.001770330334389,44.04565559471571
0.0001895,129.21633194392655,-2.828452936676689,34.16933692863227
0.00018999999999999998,123.19048965277047,-3.6577678090504517,23.36686475005275
0.0001905,115.60173415083766,-4.540667155030945,8.232629235784634
0.00019099999999999998,105.22134181563298,-7.9331628091588255,-6.407917140097447
0.0001915,84.32127156610503,-14.192693450080254,-19.106032291550758
0.000192,53.95205125698814,-18.19016302401485,-27.629726656044976
0.0001925,18.908907569551566,-19.046842883456726,-30.069968487303
0.000193,-14.741390364985833,-16.85912061012519,-28.92222547240657
0.0001935,-42.23443574515279,-12.630919355186007,-28.36951089306116
0.000194,-61.09043880944671,-7.752472662012347,-28.781763242490932
0.00019449999999999998,-72.14761160524499,-4.963485248433043,-24.20688044871728
0.000195,-80.58952570149752,-4.18087615522754,-18.738428954380197
0.00019549999999999998,-87.58113186707988,-3.3553367028797787,-13.888730619318705
0.000196,-92.98196899960746,-2.469097903781025,-9.578995385060693
0.00019649999999999998,-96.68776135564451,-1.524186690268487,-5.500948267515088
0.000197,-98.60762060688563,-0.5447362121555193,-2.4675606418723746
0.0001975,-98.70610549795435,0.43725522189087584,-1.3880494920762254
0.000198,-97.00614782950026,1.3908748071895989,-1.8788681676437613
0.0001985,-93.58905245819827,2.2862952430456023,-2.9201319428181893
0.00019899999999999999,-88.57661952853782,3.113961361127684,-5.316464366740725
0.0001995,-82.13221627333678,3.8283377206095714,-9.030747960042094
0.00019999999999999998,-74.46366133271236,4.438834737809968,-12.450875288276038
0.0002005,-65.76089532119691,4.97212063347328,-14.99833956523927
0.00020099999999999998,-55.581828430040765,6.179466176654177,-15.55958328608071
0.0002015,-43.030405191890736,7.19412208478336,-20.089033501828975
0.000202,-29.889183283876,6.768263680294297,-22.28434627222862
0.0002025,-18.38560403348075,5.636728134300881,-22.05956237144358
0.000203,-8.738719406138559,4.906969445012351,-25.5836433759975
0.00020349999999999999,-0.03259597876556075,4.485548341936151,-30.414306966553895
0.000204,7.8001091782206515,3.9546217754190116,-36.099301298651035
0.00020449999999999998,14.568072079953636,3.3397936183150376,-44.30015790530602
0.000205,20.098157485690237,2.6117968027867073,-54.01878183344489
0.00020549999999999998,24.12925860845364,1.7293452695845222,-63.836796218311484
0.000206,26.457795972820698,0.7754040789352192,-68.39823976876971
